label,MCM
2,j1
3,j2
4,j4
5,j5
6,j6
11,j3
12,j7
13,j8
14,nomcmphot
15,nomcmphot
16,nomcmphot
17,j12
100,j51
110,j11
200,j53
300,j53
400,j54
500,j53
600,j54
700,j55
800,j53
900,j54
1000,j54
1100,j53
1200,j53
1300,nomcmphot
1400,j53
1700,j13
1800,j14
1900,j15
2000,j16
2100,j17
2300,j15
2400,j16
2500,j17
2600,nomcmphot
2700,j15
2800,j15
2900,j16
3000,j21
3100,0.93*j22
3200,0.07*j22
3300,j22
3400,j22
3500,j22
3600,j22
3700,nomcmphot
3800,j22
3900,nomcmphot
4000,0.3 j18
4100,diffprod
4200,diffprod
4300,j18
4400,nomcmphot
4500,j19
4600,j18
4700,j19
4800,nomcmphot
4900,j23
5000,j24
5100,j31
5200,j33
5300,j32
5400,j34
5500,nomcmphot
5600,nomcmphot
5700,j35
5800,ignore
5900,ignore
6100,ignore
6200,ignore
6300,ignore
6400,ignore
6500,ignore
6600,ignore
6700,ignore
6800,ignore
6900,ignore
7000,ignore
7100,ignore
7200,ignore
7300,j41
7400,j15
7500,ignore
7600,ignore
7700,j41
7800,ignore
7900,ignore
8000,ignore
8100,ignore
8200,ignore
10100,j53
10200,j54
10300,j55
10500,j55
20100,j15
20200,j17
20300,j15
20400,j17
20500,j16
20600,j15
20700,j16
21100,j18
21200,nomcmphot
21300,j19
21400,j34
21500,j32
21600,j31
21800,j15
21900,ignore
22000,ignore
30100,j22
30200,j22
30300,nomcmphot
30600,j22
30700,j22
30800,nomcmphot
31100,j22
31200,j22
31300,nomcmphot
31600,j23
31700,j24
31800,j35
31900,j22
32100,j34
40000,ignore
40001,j53
40002,j54
40003,j55
40100,j41
